sequence_id	class_fst_stage	class_snd_stage
scaffold_279	eukarya	n/a
scaffold_280	eukarya	n/a
scaffold_281	eukarya	n/a
scaffold_282	eukarya	n/a
scaffold_283	eukarya	n/a
scaffold_284	eukarya	n/a
scaffold_285	eukarya	n/a
scaffold_286	eukarya	n/a
scaffold_287	eukarya	n/a
scaffold_288	unknown	n/a
scaffold_289	eukarya	n/a
scaffold_290	eukarya	n/a
scaffold_291	eukarya	n/a
scaffold_292	eukarya	n/a
scaffold_293	eukarya	n/a
scaffold_294	eukarya	n/a
scaffold_295	eukarya	n/a
scaffold_296	eukarya	n/a
scaffold_297	eukarya	n/a
scaffold_298	eukarya	n/a
scaffold_299	eukarya	n/a
scaffold_300	eukarya	n/a
scaffold_301	eukarya	n/a
scaffold_302	eukarya	n/a
scaffold_303	eukarya	n/a
scaffold_304	eukarya	n/a
scaffold_305	eukarya	n/a
scaffold_306	eukarya	n/a
scaffold_307	eukarya	n/a
scaffold_308	eukarya	n/a
scaffold_309	eukarya	n/a
scaffold_310	eukarya	n/a
scaffold_311	eukarya	n/a
scaffold_312	eukarya	n/a
scaffold_313	eukarya	n/a
scaffold_314	eukarya	n/a
scaffold_315	eukarya	n/a
scaffold_316	eukarya	n/a
scaffold_317	eukarya	n/a
scaffold_318	eukarya	n/a
scaffold_319	eukarya	n/a
scaffold_320	eukarya	n/a
scaffold_321	eukarya	n/a
scaffold_322	eukarya	n/a
scaffold_323	unknown	n/a
scaffold_324	eukarya	n/a
scaffold_325	eukarya	n/a
scaffold_326	eukarya	n/a
scaffold_327	eukarya	n/a
scaffold_328	eukarya	n/a
scaffold_329	eukarya	n/a
scaffold_330	eukarya	n/a
scaffold_331	eukarya	n/a
scaffold_332	eukarya	n/a
scaffold_333	eukarya	n/a
scaffold_334	eukarya	n/a
scaffold_335	eukarya	n/a
scaffold_336	eukarya	n/a
scaffold_337	eukarya	n/a
scaffold_338	eukarya	n/a
scaffold_339	eukarya	n/a
scaffold_340	eukarya	n/a
scaffold_341	eukarya	n/a
scaffold_342	eukarya	n/a
scaffold_343	eukarya	n/a
scaffold_344	eukarya	n/a
scaffold_345	eukarya	n/a
scaffold_346	eukarya	n/a
scaffold_347	eukarya	n/a
scaffold_348	eukarya	n/a
scaffold_349	eukarya	n/a
scaffold_350	eukarya	n/a
scaffold_351	eukarya	n/a
scaffold_352	eukarya	n/a
scaffold_353	eukarya	n/a
scaffold_354	eukarya	n/a
scaffold_355	prokarya	n/a
scaffold_356	eukarya	n/a
scaffold_357	eukarya	n/a
scaffold_358	eukarya	n/a
scaffold_359	eukarya	n/a
scaffold_360	eukarya	n/a
scaffold_361	eukarya	n/a
scaffold_362	eukarya	n/a
scaffold_363	unknown	n/a
scaffold_364	eukarya	n/a
scaffold_365	eukarya	n/a
scaffold_366	eukarya	n/a
scaffold_367	eukarya	n/a
scaffold_368	eukarya	n/a
scaffold_369	unknown	n/a
scaffold_370	eukarya	n/a
scaffold_371	eukarya	n/a
scaffold_372	eukarya	n/a
scaffold_373	eukarya	n/a
scaffold_374	eukarya	n/a
scaffold_375	eukarya	n/a
scaffold_376	eukarya	n/a
scaffold_377	eukarya	n/a
scaffold_378	eukarya	n/a
scaffold_379	eukarya	n/a
scaffold_380	eukarya	n/a
scaffold_381	eukarya	n/a
scaffold_382	eukarya	n/a
scaffold_383	eukarya	n/a
scaffold_384	eukarya	n/a
scaffold_385	eukarya	n/a
scaffold_386	eukarya	n/a
scaffold_387	eukarya	n/a
scaffold_388	eukarya	n/a
scaffold_389	eukarya	n/a
scaffold_390	unknown	n/a
scaffold_391	eukarya	n/a
scaffold_392	eukarya	n/a
scaffold_393	eukarya	n/a
scaffold_394	eukarya	n/a
scaffold_395	eukarya	n/a
scaffold_396	eukarya	n/a
scaffold_397	eukarya	n/a
scaffold_398	eukarya	n/a
scaffold_399	eukarya	n/a
scaffold_400	eukarya	n/a
scaffold_401	eukarya	n/a
scaffold_402	eukarya	n/a
scaffold_403	eukarya	n/a
scaffold_404	eukarya	n/a
scaffold_405	eukarya	n/a
scaffold_406	eukarya	n/a
scaffold_407	eukarya	n/a
scaffold_408	eukarya	n/a
scaffold_409	eukarya	n/a
scaffold_410	eukarya	n/a
scaffold_411	eukarya	n/a
scaffold_412	eukarya	n/a
scaffold_413	eukarya	n/a
scaffold_414	eukarya	n/a
scaffold_415	eukarya	n/a
scaffold_416	eukarya	n/a
scaffold_417	eukarya	n/a
scaffold_418	eukarya	n/a
scaffold_419	eukarya	n/a
scaffold_420	eukarya	n/a
scaffold_421	eukarya	n/a
scaffold_422	eukarya	n/a
scaffold_423	eukarya	n/a
scaffold_424	eukarya	n/a
scaffold_425	eukarya	n/a
scaffold_426	eukarya	n/a
scaffold_427	eukarya	n/a
scaffold_428	eukarya	n/a
scaffold_429	eukarya	n/a
scaffold_430	eukarya	n/a
scaffold_431	eukarya	n/a
scaffold_432	eukarya	n/a
scaffold_433	eukarya	n/a
scaffold_434	eukarya	n/a
scaffold_435	eukarya	n/a
scaffold_436	eukarya	n/a
scaffold_437	eukarya	n/a
scaffold_438	eukarya	n/a
scaffold_439	unknown	n/a
scaffold_440	eukarya	n/a
scaffold_441	eukarya	n/a
scaffold_442	eukarya	n/a
scaffold_443	eukarya	n/a
scaffold_444	eukarya	n/a
scaffold_445	eukarya	n/a
scaffold_446	eukarya	n/a
scaffold_447	eukarya	n/a
scaffold_448	eukarya	n/a
scaffold_449	eukarya	n/a
scaffold_450	eukarya	n/a
scaffold_451	eukarya	n/a
scaffold_452	eukarya	n/a
scaffold_453	eukarya	n/a
scaffold_454	eukarya	n/a
scaffold_455	eukarya	n/a
scaffold_456	eukarya	n/a
scaffold_457	eukarya	n/a
scaffold_458	eukarya	n/a
scaffold_459	eukarya	n/a
scaffold_460	bacteria	n/a
scaffold_461	eukarya	n/a
scaffold_462	eukarya	n/a
scaffold_463	eukarya	n/a
scaffold_464	eukarya	n/a
scaffold_465	eukarya	n/a
scaffold_466	eukarya	n/a
scaffold_467	eukarya	n/a
scaffold_468	eukarya	n/a
scaffold_469	eukarya	n/a
scaffold_470	eukarya	n/a
scaffold_471	eukarya	n/a
scaffold_472	eukarya	n/a
scaffold_473	eukarya	n/a
scaffold_474	bacteria	n/a
scaffold_475	eukarya	n/a
scaffold_476	eukarya	n/a
scaffold_477	eukarya	n/a
scaffold_478	eukarya	n/a
scaffold_479	eukarya	n/a
scaffold_480	eukarya	n/a
scaffold_481	eukarya	n/a
scaffold_482	eukarya	n/a
scaffold_483	eukarya	n/a
scaffold_484	eukarya	n/a
scaffold_485	eukarya	n/a
scaffold_486	eukarya	n/a
scaffold_487	eukarya	n/a
scaffold_488	eukarya	n/a
scaffold_489	bacteria	n/a
scaffold_490	eukarya	n/a
scaffold_491	eukarya	n/a
scaffold_492	eukarya	n/a
scaffold_493	eukarya	n/a
scaffold_494	unknown	n/a
scaffold_495	eukarya	n/a
scaffold_496	eukarya	n/a
scaffold_497	eukarya	n/a
scaffold_498	eukarya	n/a
scaffold_499	eukarya	n/a
scaffold_500	eukarya	n/a
scaffold_501	unknown	n/a
scaffold_502	eukarya	n/a
scaffold_503	eukarya	n/a
scaffold_504	eukarya	n/a
scaffold_505	eukarya	n/a
scaffold_506	eukarya	n/a
scaffold_507	eukarya	n/a
scaffold_508	prokarya	n/a
scaffold_509	eukarya	n/a
scaffold_510	eukarya	n/a
scaffold_511	eukarya	n/a
scaffold_512	eukarya	n/a
scaffold_513	eukarya	n/a
scaffold_514	eukarya	n/a
scaffold_515	eukarya	n/a
scaffold_516	eukarya	n/a
scaffold_517	eukarya	n/a
scaffold_518	eukarya	n/a
scaffold_519	eukarya	n/a
scaffold_520	eukarya	n/a
scaffold_521	eukarya	n/a
scaffold_522	eukarya	n/a
scaffold_523	eukarya	n/a
scaffold_524	eukarya	n/a
scaffold_525	eukarya	n/a
scaffold_526	eukarya	n/a
scaffold_527	bacteria	n/a
scaffold_528	unknown	n/a
scaffold_529	eukarya	n/a
scaffold_530	eukarya	n/a
scaffold_531	eukarya	n/a
scaffold_532	eukarya	n/a
scaffold_533	prokarya	n/a
scaffold_534	eukarya	n/a
scaffold_535	eukarya	n/a
scaffold_536	eukarya	n/a
scaffold_537	bacteria	n/a
scaffold_538	eukarya	n/a
scaffold_539	eukarya	n/a
scaffold_540	eukarya	n/a
scaffold_541	eukarya	n/a
scaffold_542	bacteria	n/a
scaffold_543	eukarya	n/a
scaffold_544	eukarya	n/a
scaffold_545	eukarya	n/a
scaffold_546	eukarya	n/a
scaffold_547	eukarya	n/a
scaffold_548	eukarya	n/a
scaffold_549	eukarya	n/a
scaffold_550	eukarya	n/a
scaffold_551	eukarya	n/a
scaffold_552	eukarya	n/a
scaffold_553	eukarya	n/a
scaffold_554	eukarya	n/a
scaffold_555	eukarya	n/a
scaffold_557	eukarya	n/a
scaffold_558	eukarya	n/a
scaffold_559	eukarya	n/a
scaffold_560	eukarya	n/a
scaffold_561	eukarya	n/a
scaffold_562	eukarya	n/a
scaffold_563	bacteria	n/a
scaffold_564	eukarya	n/a
scaffold_565	eukarya	n/a
scaffold_566	eukarya	n/a
scaffold_567	eukarya	n/a
scaffold_568	eukarya	n/a
scaffold_569	eukarya	n/a
scaffold_570	eukarya	n/a
scaffold_571	eukarya	n/a
scaffold_572	eukarya	n/a
scaffold_573	eukarya	n/a
scaffold_574	eukarya	n/a
scaffold_575	eukarya	n/a
scaffold_576	eukarya	n/a
scaffold_577	eukarya	n/a
scaffold_578	eukarya	n/a
scaffold_579	eukarya	n/a
scaffold_580	eukarya	n/a
scaffold_581	eukarya	n/a
scaffold_582	eukarya	n/a
scaffold_583	eukarya	n/a
scaffold_584	eukarya	n/a
scaffold_585	eukarya	n/a
scaffold_586	eukarya	n/a
scaffold_587	eukarya	n/a
scaffold_588	eukarya	n/a
scaffold_589	eukarya	n/a
scaffold_590	eukarya	n/a
scaffold_591	eukarya	n/a
scaffold_592	eukarya	n/a
scaffold_593	eukarya	n/a
scaffold_594	eukarya	n/a
scaffold_595	eukarya	n/a
scaffold_596	eukarya	n/a
scaffold_597	bacteria	n/a
scaffold_598	eukarya	n/a
scaffold_599	eukarya	n/a
scaffold_600	eukarya	n/a
scaffold_601	eukarya	n/a
scaffold_602	eukarya	n/a
scaffold_603	eukarya	n/a
scaffold_604	eukarya	n/a
scaffold_605	eukarya	n/a
scaffold_606	eukarya	n/a
scaffold_607	bacteria	n/a
scaffold_608	eukarya	n/a
scaffold_610	archaea	n/a
scaffold_611	eukarya	n/a
scaffold_612	eukarya	n/a
scaffold_613	eukarya	n/a
scaffold_614	eukarya	n/a
scaffold_615	eukarya	n/a
scaffold_616	eukarya	n/a
scaffold_617	eukarya	n/a
scaffold_618	eukarya	n/a
scaffold_619	eukarya	n/a
scaffold_620	bacteria	n/a
scaffold_621	eukarya	n/a
scaffold_622	eukarya	n/a
scaffold_623	eukarya	n/a
scaffold_625	eukarya	n/a
scaffold_626	eukarya	n/a
scaffold_627	eukarya	n/a
scaffold_628	eukarya	n/a
scaffold_629	eukarya	n/a
scaffold_630	eukarya	n/a
scaffold_631	eukarya	n/a
scaffold_632	eukarya	n/a
scaffold_633	eukarya	n/a
scaffold_634	eukarya	n/a
scaffold_635	eukarya	n/a
scaffold_636	eukarya	n/a
scaffold_637	eukarya	n/a
scaffold_638	eukarya	n/a
scaffold_639	eukarya	n/a
scaffold_640	eukarya	n/a
scaffold_641	eukarya	n/a
scaffold_642	eukarya	n/a
scaffold_643	eukarya	n/a
scaffold_644	eukarya	n/a
scaffold_645	eukarya	n/a
scaffold_646	eukarya	n/a
scaffold_647	eukarya	n/a
scaffold_648	eukarya	n/a
scaffold_649	eukarya	n/a
scaffold_650	eukarya	n/a
scaffold_651	eukarya	n/a
scaffold_652	eukarya	n/a
scaffold_653	eukarya	n/a
scaffold_654	eukarya	n/a
scaffold_655	eukarya	n/a
scaffold_656	eukarya	n/a
scaffold_657	eukarya	n/a
scaffold_658	eukarya	n/a
scaffold_659	eukarya	n/a
scaffold_660	eukarya	n/a
scaffold_661	eukarya	n/a
scaffold_662	eukarya	n/a
scaffold_663	eukarya	n/a
scaffold_664	eukarya	n/a
scaffold_665	eukarya	n/a
scaffold_666	eukarya	n/a
scaffold_667	eukarya	n/a
scaffold_668	eukarya	n/a
scaffold_669	eukarya	n/a
scaffold_670	eukarya	n/a
scaffold_671	eukarya	n/a
scaffold_672	eukarya	n/a
scaffold_673	eukarya	n/a
scaffold_674	eukarya	n/a
scaffold_675	eukarya	n/a
scaffold_676	eukarya	n/a
scaffold_677	eukarya	n/a
scaffold_678	eukarya	n/a
scaffold_679	eukarya	n/a
scaffold_680	eukarya	n/a
scaffold_681	eukarya	n/a
scaffold_682	eukarya	n/a
scaffold_683	eukarya	n/a
scaffold_684	eukarya	n/a
scaffold_685	eukarya	n/a
scaffold_686	eukarya	n/a
scaffold_687	eukarya	n/a
scaffold_688	eukarya	n/a
scaffold_689	eukarya	n/a
scaffold_690	eukarya	n/a
scaffold_691	eukarya	n/a
scaffold_692	eukarya	n/a
scaffold_693	eukarya	n/a
scaffold_694	eukarya	n/a
scaffold_695	eukarya	n/a
scaffold_696	eukarya	n/a
scaffold_697	eukarya	n/a
scaffold_698	eukarya	n/a
scaffold_699	eukarya	n/a
scaffold_700	eukarya	n/a
scaffold_701	unknown	n/a
scaffold_702	eukarya	n/a
scaffold_703	eukarya	n/a
scaffold_704	eukarya	n/a
scaffold_705	eukarya	n/a
scaffold_706	eukarya	n/a
scaffold_707	eukarya	n/a
scaffold_708	eukarya	n/a
scaffold_709	eukarya	n/a
scaffold_710	eukarya	n/a
scaffold_711	eukarya	n/a
scaffold_712	eukarya	n/a
scaffold_713	eukarya	n/a
scaffold_714	eukarya	n/a
scaffold_715	eukarya	n/a
scaffold_716	eukarya	n/a
scaffold_717	eukarya	n/a
scaffold_718	eukarya	n/a
scaffold_719	eukarya	n/a
scaffold_720	eukarya	n/a
scaffold_721	eukarya	n/a
scaffold_722	eukarya	n/a
scaffold_723	eukarya	n/a
scaffold_724	eukarya	n/a
scaffold_725	eukarya	n/a
scaffold_726	eukarya	n/a
scaffold_727	eukarya	n/a
scaffold_728	eukarya	n/a
scaffold_729	eukarya	n/a
scaffold_730	bacteria	n/a
scaffold_731	eukarya	n/a
scaffold_732	eukarya	n/a
scaffold_733	bacteria	n/a
scaffold_734	eukarya	n/a
scaffold_735	eukarya	n/a
scaffold_736	eukarya	n/a
scaffold_737	eukarya	n/a
scaffold_738	eukarya	n/a
scaffold_739	eukarya	n/a
scaffold_740	eukarya	n/a
scaffold_741	eukarya	n/a
scaffold_742	eukarya	n/a
scaffold_743	eukarya	n/a
scaffold_744	eukarya	n/a
scaffold_745	eukarya	n/a
scaffold_746	eukarya	n/a
scaffold_747	eukarya	n/a
scaffold_748	eukarya	n/a
scaffold_749	eukarya	n/a
scaffold_750	unknown	n/a
scaffold_751	eukarya	n/a
scaffold_752	eukarya	n/a
scaffold_753	eukarya	n/a
scaffold_754	eukarya	n/a
scaffold_755	prokarya	n/a
scaffold_756	eukarya	n/a
scaffold_757	eukarya	n/a
scaffold_758	eukarya	n/a
scaffold_759	eukarya	n/a
scaffold_760	eukarya	n/a
scaffold_761	eukarya	n/a
scaffold_762	eukarya	n/a
scaffold_763	eukarya	n/a
scaffold_764	eukarya	n/a
scaffold_765	eukarya	n/a
scaffold_766	eukarya	n/a
scaffold_767	eukarya	n/a
scaffold_768	eukarya	n/a
scaffold_769	eukarya	n/a
scaffold_770	eukarya	n/a
scaffold_771	eukarya	n/a
scaffold_772	eukarya	n/a
scaffold_773	eukarya	n/a
scaffold_774	eukarya	n/a
scaffold_775	eukarya	n/a
scaffold_776	eukarya	n/a
scaffold_777	eukarya	n/a
scaffold_778	eukarya	n/a
scaffold_779	eukarya	n/a
scaffold_780	eukarya	n/a
scaffold_781	eukarya	n/a
scaffold_782	eukarya	n/a
scaffold_783	eukarya	n/a
scaffold_784	eukarya	n/a
scaffold_785	eukarya	n/a
scaffold_786	eukarya	n/a
scaffold_787	bacteria	n/a
scaffold_788	eukarya	n/a
scaffold_789	eukarya	n/a
scaffold_790	eukarya	n/a
scaffold_791	eukarya	n/a
scaffold_792	eukarya	n/a
scaffold_793	eukarya	n/a
scaffold_794	eukarya	n/a
scaffold_795	eukarya	n/a
scaffold_796	eukarya	n/a
scaffold_797	eukarya	n/a
scaffold_798	eukarya	n/a
scaffold_799	eukarya	n/a
scaffold_800	eukarya	n/a
scaffold_801	eukarya	n/a
scaffold_802	bacteria	n/a
scaffold_803	eukarya	n/a
scaffold_804	eukarya	n/a
scaffold_805	eukarya	n/a
scaffold_806	eukarya	n/a
scaffold_807	eukarya	n/a
scaffold_808	eukarya	n/a
scaffold_809	eukarya	n/a
scaffold_810	eukarya	n/a
scaffold_811	eukarya	n/a
scaffold_812	eukarya	n/a
scaffold_813	eukarya	n/a
scaffold_814	eukarya	n/a
scaffold_815	eukarya	n/a
scaffold_816	eukarya	n/a
scaffold_817	eukarya	n/a
scaffold_818	eukarya	n/a
scaffold_819	eukarya	n/a
scaffold_820	eukarya	n/a
scaffold_821	eukarya	n/a
scaffold_822	eukarya	n/a
scaffold_823	eukarya	n/a
scaffold_824	eukarya	n/a
scaffold_825	eukarya	n/a
scaffold_826	eukarya	n/a
scaffold_827	eukarya	n/a
scaffold_828	eukarya	n/a
scaffold_829	eukarya	n/a
scaffold_830	eukarya	n/a
scaffold_831	eukarya	n/a
scaffold_832	unknown	n/a
scaffold_833	eukarya	n/a
scaffold_834	eukarya	n/a
scaffold_835	eukarya	n/a
scaffold_836	eukarya	n/a
scaffold_837	eukarya	n/a
scaffold_838	eukarya	n/a
scaffold_839	eukarya	n/a
scaffold_840	eukarya	n/a
scaffold_841	eukarya	n/a
scaffold_842	archaea	n/a
scaffold_843	eukarya	n/a
scaffold_844	eukarya	n/a
scaffold_845	eukarya	n/a
scaffold_846	eukarya	n/a
scaffold_847	bacteria	n/a
scaffold_848	eukarya	n/a
scaffold_849	eukarya	n/a
scaffold_850	eukarya	n/a
scaffold_851	eukarya	n/a
scaffold_852	eukarya	n/a
scaffold_853	eukarya	n/a
scaffold_854	eukarya	n/a
scaffold_855	eukarya	n/a
scaffold_856	eukarya	n/a
scaffold_857	eukarya	n/a
scaffold_858	eukarya	n/a
scaffold_859	bacteria	n/a
scaffold_860	eukarya	n/a
scaffold_861	eukarya	n/a
scaffold_862	bacteria	n/a
scaffold_863	eukarya	n/a
scaffold_864	eukarya	n/a
scaffold_865	archaea	n/a
scaffold_866	eukarya	n/a
scaffold_867	eukarya	n/a
scaffold_868	eukarya	n/a
scaffold_869	eukarya	n/a
scaffold_870	bacteria	n/a
scaffold_871	eukarya	n/a
scaffold_872	eukarya	n/a
scaffold_873	eukarya	n/a
scaffold_874	eukarya	n/a
scaffold_875	eukarya	n/a
scaffold_876	eukarya	n/a
scaffold_877	eukarya	n/a
scaffold_878	eukarya	n/a
scaffold_879	eukarya	n/a
scaffold_880	eukarya	n/a
scaffold_881	eukarya	n/a
scaffold_882	eukarya	n/a
scaffold_883	eukarya	n/a
scaffold_884	eukarya	n/a
